a1,a2,a3,a4,a5,a6
-1,-9,-2,-6,-2,-2
-1,-8,-2,-3,-4,-12
-1,-8,-2,-4,-2,-6
-2,-7,-2,-2,-2,-2
-1,-7,-2,-3,-2,-82
-1,-7,-2,-3,-4,-28
-1,-7,-2,-3,-10,-10
-1,-7,-2,-4,-4,-4
-1,-7,-2,-8,-2,-2
-1,-6,-2,-4,-2,-14
-1,-6,-2,-4,-5,-5
-1,-6,-2,-10,-2,-2
-1,-6,-3,-5,-2,-2
-1,-5,-2,-4,-2,-42
-1,-5,-2,-10,-2,-3
-1,-5,-2,-14,-2,-2
-3,-4,-2,-2,-2,-2
-1,-4,-2,-5,-2,-86
-1,-4,-2,-6,-2,-22
-1,-4,-2,-5,-8,-8
-1,-4,-2,-6,-4,-8
-1,-4,-2,-10,-2,-6
-1,-4,-3,-4,-3,-5
-1,-4,-2,-8,-4,-4
-1,-4,-4,-4,-2,-4
-1,-4,-2,-26,-2,-2
-1,-4,-5,-5,-2,-2
-3,-3,-2,-2,-2,-3
-2,-3,-2,-6,-2,-2
-1,-3,-2,-7,-6,-110
-1,-3,-2,-11,-2,-98
-1,-3,-3,-4,-2,-90
-1,-3,-2,-8,-4,-52
-1,-3,-2,-12,-2,-50
-1,-3,-2,-7,-8,-40
-1,-3,-2,-13,-2,-34
-1,-3,-2,-7,-10,-26
-1,-3,-2,-10,-3,-26
-1,-3,-2,-14,-2,-26
-1,-3,-2,-7,-12,-20
-1,-3,-2,-16,-2,-18
-1,-3,-2,-10,-4,-14
-1,-3,-2,-18,-2,-14
-1,-3,-4,-4,-2,-12
-1,-3,-2,-8,-10,-10
-1,-3,-2,-10,-5,-10
-1,-3,-2,-22,-2,-10
-1,-3,-2,-9,-8,-8
-1,-3,-2,-10,-6,-8
-1,-3,-2,-26,-2,-8
-1,-3,-2,-34,-2,-6
-1,-3,-2,-14,-5,-5
-1,-3,-3,-5,-5,-5
-1,-3,-2,-22,-3,-5
-1,-3,-2,-42,-2,-5
-1,-3,-2,-20,-4,-4
-1,-3,-2,-58,-2,-4
-1,-3,-2,-106,-2,-3
-1,-3,-3,-26,-2,-2
-1,-3,-4,-14,-2,-2
-1,-3,-5,-10,-2,-2
-1,-3,-6,-8,-2,-2
-2,-2,-2,-2,-2,-22
-2,-2,-2,-2,-4,-8
-1,-2,-3,-7,-12,-212
-1,-2,-3,-8,-7,-171
-1,-2,-3,-16,-3,-167
-1,-2,-3,-11,-4,-156
-1,-2,-4,-13,-2,-150
-1,-2,-4,-5,-6,-146
-1,-2,-5,-8,-2,-134
-1,-2,-4,-7,-3,-131
-1,-2,-3,-7,-14,-78
-1,-2,-4,-14,-2,-78
-1,-2,-4,-6,-4,-68
-1,-2,-3,-10,-5,-55
-1,-2,-4,-15,-2,-54
-1,-2,-6,-7,-2,-46
-1,-2,-4,-16,-2,-42
-1,-2,-4,-8,-3,-35
-1,-2,-3,-8,-10,-30
-1,-2,-4,-18,-2,-30
-1,-2,-5,-10,-2,-30
-1,-2,-3,-22,-3,-29
-1,-2,-5,-5,-4,-28
-1,-2,-3,-10,-6,-26
-1,-2,-4,-6,-5,-25
-1,-2,-4,-20,-2,-24
-1,-2,-4,-21,-2,-22
-1,-2,-4,-24,-2,-18
-1,-2,-4,-28,-2,-15
-1,-2,-4,-30,-2,-14
-1,-2,-5,-14,-2,-14
-1,-2,-6,-10,-2,-14
-1,-2,-3,-38,-3,-13
-1,-2,-3,-20,-4,-12
-1,-2,-5,-6,-4,-12
-1,-2,-4,-36,-2,-12
-1,-2,-4,-12,-3,-11
-1,-2,-8,-8,-2,-11
-1,-2,-3,-14,-6,-10
-1,-2,-4,-48,-2,-10
-1,-2,-4,-8,-5,-9
-1,-2,-4,-60,-2,-9
-1,-2,-3,-13,-8,-8
-1,-2,-5,-5,-8,-8
-1,-2,-4,-84,-2,-8
-1,-2,-3,-176,-3,-7
-1,-2,-6,-8,-3,-7
-1,-2,-4,-156,-2,-7
-1,-2,-5,-40,-2,-6
-1,-2,-6,-22,-2,-6
-1,-2,-7,-16,-2,-6
-1,-2,-8,-13,-2,-6
-1,-2,-10,-10,-2,-6
-1,-2,-3,-40,-5,-5
-1,-2,-4,-12,-5,-5
-1,-2,-5,-8,-5,-5
-1,-2,-4,-28,-3,-5
-1,-2,-4,-22,-4,-4
-1,-2,-6,-14,-3,-4
-1,-2,-6,-70,-2,-4
-1,-2,-10,-18,-2,-4
-1,-2,-8,-136,-2,-3
-1,-2,-10,-50,-2,-3
